osiics_15_code;osiics_15_diagnosis;osiics_15_body_part;osiics_15_tissue;osiics_15_pathology;osiics_15_organ_system;osiics_15_eitiology
HZX;Head Injuries;Head;Non-specific ;Unknown;;
HV1;Head/facial contusion/haematoma;Head;Vessels;Contusion/vascular;;
HVE;Eye bruising/haematoma;Head;Vessels;Contusion/vascular;;
HVP;Periorbital bruising/haematoma;Head;Vessels;Contusion/vascular;;
HOC;Conjunctival haematoma;Head;Internal organs ;Organ trauma ;;
HORH;Traumatic retinal haemorrhage;Head;Internal organs ;Organ trauma ;;
HVL;Scalp bruising/haematoma;Head;Vessels;Contusion/vascular;;
HVN;Nose contusion/haematoma;Head;Vessels;Contusion/vascular;;
HVB;Epistaxis;Head;Vessels;Contusion/vascular;;
HVS;Septal haematoma;Head;Vessels;Contusion/vascular;;
HVM;Mouth bruising/haematoma;Head;Vessels;Contusion/vascular;;
HVO;Ear bruising/haematoma;Head;Vessels;Contusion/vascular;;
HVC;Cauliflower Ear (chronic);Head;Vessels;Contusion/vascular;;
HLJ;Jaw bruising/haematoma;Head;Ligament/joint capsule ;Ligament;;
HVX;Other bruising/haematoma not otherwise specified;Head;Vessels;Contusion/vascular;;
HK1;Head/facial laceration;Head;Superficial tissues/skin ;Laceration ;;
HKXQ;Complication of head laceration including infection;Head;Superficial tissues/skin ;Laceration ;;
HKXS;Head laceration location unspecified/or multiple requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HKXN;Head laceration location unspecified/or multiple not requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HIH;Forehead abrasion;Head;Superficial tissues/skin ;Abrasion ;;
HKHS;Forehead laceration requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HKF;Forehead laceration not requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HIB;Eyebrow abrasion;Head;Superficial tissues/skin ;Abrasion ;;
HKBS;Eyebrow laceration requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HKB;Eyebrow laceration not requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HK2;Eyelid laceration;Head;Superficial tissues/skin ;Laceration ;;
HKE;Eyelid laceration requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HKLN;Eyelid laceration not requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HIC;Cheek abrasion;Head;Superficial tissues/skin ;Abrasion ;;
HKCS;Cheek laceration requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HKC;Cheek laceration not requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HIN;Nose abrasion;Head;Superficial tissues/skin ;Abrasion ;;
HKNS;Nose laceration requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HKN;Nose laceration not requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HIM;Mouth abrasion;Head;Superficial tissues/skin ;Abrasion ;;
HKMS;Mucosal laceration requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HKM;Mucosal laceration not requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HKK;Lip laceration;Head;Superficial tissues/skin ;Laceration ;;
HKKS;Lip laceration requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HIK;Lip abrasion not requiring suturing;Head;Superficial tissues/skin ;Abrasion ;;
HKT;Tongue laceration;Head;Superficial tissues/skin ;Laceration ;;
HKTS;Tongue laceration requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HKTN;Tongue laceration not requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HKP;Perforating mouth laceration;Head;Superficial tissues/skin ;Laceration ;;
HKPS;Perforating mouth laceration requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HIJ;Chin abrasion;Head;Superficial tissues/skin ;Abrasion ;;
HKJ;Chin laceration;Head;Superficial tissues/skin ;Laceration ;;
HKE1;Ear laceration;Head;Superficial tissues/skin ;Laceration ;;
HKES;Ear laceration requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HIE;Ear abrasion;Head;Superficial tissues/skin ;Abrasion ;;
HIS;Scalp abrasion;Head;Superficial tissues/skin ;Abrasion ;;
HKS;Scalp laceration;Head;Superficial tissues/skin ;Laceration ;;
HIF;Facial abrasion not otherwise specified;Head;Superficial tissues/skin ;Abrasion ;;
HKZS;Facial laceration requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HKZ;Facial laceration not requiring suturing;Head;Superficial tissues/skin ;Laceration ;;
HPY;Facial muscle strain;Head;Non-specific ;Pain without tissue type specified ;;
HMY;Facial muscle trigger points;Head;Muscle/tendon ;Muscle injury;;
HLS;Facial Joint sprain/injury;Head;Ligament/joint capsule ;Ligament;;
HLT;Jaw sprain/temporomandibular joint (TMJ) symptoms;Head;Ligament/joint capsule ;Ligament;;
HDX;Facial Dislocation;Head;Ligament/joint capsule ;Joint sprain;;
HD1;Jaw dislocation;Head;Ligament/joint capsule ;Joint sprain;;
HFX;Head/Facial fracture;Head;Bone ;Fracture ;;
HF4;Orbital fracture;Head;Bone ;Fracture ;;
HFE;Orbital floor fracture;Head;Bone ;Fracture ;;
HFEM;Medial Wall orbit fracture;Head;Bone ;Fracture ;;
HFEZ;Other orbital fracture not otherwise specified;Head;Bone ;Fracture ;;
HFZ;Zygoma fracture;Head;Bone ;Fracture ;;
HF1;Nose fracture;Head;Bone ;Fracture ;;
HFM;Maxillary fracture;Head;Bone ;Fracture ;;
HF3;Mandible fracture;Head;Bone ;Fracture ;;
HFMC;Compound fractured mandible;Head;Bone ;Fracture ;;
HFS;Skull/cranial fracture;Head;Bone ;Fracture ;;
HF2;Fractured frontal bone;Head;Bone ;Fracture ;;
HN2;Concussion/Brain Injury;Head;Nervous system;Brain/Spinal cord injury;;
HN1;Concussion;Head;Nervous system;Brain/Spinal cord injury;;
HNC2;Concussion with Criteria 2 video signs;Head;Nervous system;Brain/Spinal cord injury;;
HNCT;Traumatic Encephalopathy Syndrome;Head;Nervous system;Brain/Spinal cord injury;;
HNCB;Concussion with abnormal biomarkers;Head;Nervous system;Brain/Spinal cord injury;;
HNCH;Concussion in a player with a concerning history;Head;Nervous system;Brain/Spinal cord injury;;
HZC2;Head impact (not concussion) with Criteria 2 video signs;Head;Non-specific ;Unknown;;
HNC1;Concussion with Criteria 1 video signs;Head;Nervous system;Brain/Spinal cord injury;;
HNCA;Concussion with imaging abnormality;Head;Nervous system;Brain/Spinal cord injury;;
HNCN;Concussion with no concerning history or signs;Head;Nervous system;Brain/Spinal cord injury;;
HNCD;Concussion with delayed symptom presentation;Head;Nervous system;Brain/Spinal cord injury;;
HZN;Head/neck impact not diagnosed as concussion;Head;Non-specific ;Unknown;;
HNV;Acute Concussion with visual symptoms;Head;Nervous system;Brain/Spinal cord injury;;
HN3;Chronic Brain Injury;Head;Nervous system;Brain/Spinal cord injury;;
HNI;Intracranial Bleed;Head;Nervous system;Brain/Spinal cord injury;;
HN4;Cranial Nerve injury;Head;Nervous system;Brain/Spinal cord injury;;
HOX;Head Organ Damage ;Head;Internal organs ;Organ trauma ;;
HO1;Eye injury/trauma;Head;Internal organs ;Organ trauma ;;
HOF;Eye foreign body - Corneal;Head;Internal organs ;Organ trauma ;;
HOO;Eye foreign body - not otherwise specified;Head;Internal organs ;Organ trauma ;;
HOH;Hyphema;Head;Internal organs ;Organ trauma ;;
HOU;Corneal Abrasion;Head;Internal organs ;Organ trauma ;;
HOL;Contact lens displacement;Head;Internal organs ;Organ trauma ;;
