osiics_16_code;problem_type;osiics_16_level_1;osiics_16_level_2;osiics_16_level_3;osiics_16_level_4;OSIICS_16_ES
HMT;Injury;Head;Muscle/tendon;Muscle injury;Muscular trigger point referred headache;Dolor de cabeza atribuible a un punto gatillo muscular
HMY;Injury;Head;Muscle/tendon;Muscle injury;Facial muscle trigger points;Puntos gatillo musculares en la cara
HKXN;Injury;Head;Muscle/tendon;Laceration;Head laceration location unspecified/or multiple not requiring suturing;Laceración de la cabeza en localización múltiple o no especificada que no requiere sutura
HKM;Injury;Head;Muscle/tendon;Laceration;Mucosal laceration not requiring suturing;Abrasión bucal que no requiere sutura
HKMS;Injury;Head;Muscle/tendon;Laceration;Mucosal laceration requiring suturing;Abrasión bucal que requiere sutura
HKN;Injury;Head;Muscle/tendon;Laceration;Nose laceration not requiring suturing;Abrasión de la nariz que no requiere sutura
HKNS;Injury;Head;Muscle/tendon;Laceration;Nose laceration requiring suturing;Abrasión de la nariz que requiere sutura
HKP;Injury;Head;Muscle/tendon;Laceration;Perforating mouth laceration;Laceración perforante en la boca.
HKPS;Injury;Head;Muscle/tendon;Laceration;Perforating mouth laceration requiring suturing;Laceración perforante en la boca que requiere sutura.
HKS;Injury;Head;Muscle/tendon;Laceration;Scalp laceration;Laceración del cráneo
HKT;Injury;Head;Muscle/tendon;Laceration;Tongue laceration;Laceración en la lengua
HKTS;Injury;Head;Muscle/tendon;Laceration;Tongue laceration requiring suturing;Laceración en la lengua que requiere sutura.
HKXQ;Injury;Head;Muscle/tendon;Laceration;Complication of head laceration including infection;Complicación de una laceración en la cabeza, incluida infección
HKXS;Injury;Head;Muscle/tendon;Laceration;Head laceration location unspecified/or multiple requiring suturing;Laceración de la cabeza en localización múltiple o no especificada que requiere sutura
HKZ;Injury;Head;Muscle/tendon;Laceration;Facial laceration not requiring suturing;Laceración facial que no requiere sutura
HKLN;Injury;Head;Muscle/tendon;Laceration;Eyelid laceration not requiring suturing;Laceración del párpado que no requiere sutura
HKB;Injury;Head;Muscle/tendon;Laceration;Eyebrow laceration not requiring suturing;Laceración de ceja que no requiere sutura
HKZS;Injury;Head;Muscle/tendon;Laceration;Facial laceration requiring suturing;Laceración facial que requiere sutura
HKTN;Injury;Head;Muscle/tendon;Laceration;Tongue laceration not requiring suturing;Laceración de la lengua que no requiere sutura
HK2;Injury;Head;Muscle/tendon;Laceration;Eyelid laceration;Laceración del párpado
HKKS;Injury;Head;Muscle/tendon;Laceration;Lip laceration requiring suturing;Laceración del labio que requiere sutura
