node;colour;colour2;blues;oranges;
Sudden;#326295;#00B052;#4F92C8;#E8A149;90 %
Gradual;#F09316;#00B052;#4F92C8;#E8A149;90 %
Repetitive;#86B519;#326295;#0091D3;#E69735;100 %
Acute;#00B052;#326295;#0091D3;#E69735;100 %
Training;#4994CE;#8a1a67;#66A5D7;#F7A94B;80 %
Match;#8a1a67;#8a1a67;#65A5D7;#F7A94B;80 %
Direct contact;#326295;#4994CE;#79B0DC;#EDB672;70 %
No contact;#00B052;#4994CE;#79B0DC;#EDB672;70 %
Indirect contact;#F09316;#4994CE;#79B0DC;#EDB672;70 %
Collision;#8a1a67;#F09316;#8CBCE2;#F0C186;60 %
Unknown;#FFCC00;#F09316;#8CBCE2;#F0C186;60 %
Falling;#F09316;#F09316;#8CBCE2;#F0C186;60 %
Kicking;#4994CE;#F09316;#8CBCE2;#F0C186;60 %
Tackle;#00B052;#F09316;#8CBCE2;#F0C186;60 %
Controlling the ball;#F09316;#F09316;#8CBCE2;#F0C186;60 %
Running;#326295;#F09316;#8CBCE2;#F0C186;60 %
Heading;#326295;#F09316;#8CBCE2;#F0C186;60 %
Landing;#86B519;#F09316;#8CBCE2;#F0C186;60 %
Hit by ball;#4994CE;#F09316;#8CBCE2;#F0C186;60 %
Change of direction;#8a1a67;#F09316;#8CBCE2;#F0C186;60 %
Other;#FFCC00;#F09316;#8CBCE2;#F0C186;60 %
