Code;Diagnosis;Body part;Injury type;Medical System;Pathology type;Initial version
HMT;Muscular trigger point referred headache;Head;Muscle injury;;;13.0
HMY;Facial muscle trigger points;Head;Muscle injury;;;13.0
HNCA;Concussion with imaging abnormality;Head;Nerve injury;;;15
HNC2;Concussion with Criteria 2 video signs;Head;Nerve injury;;;15
HNI;Intracranial Bleed;Head;Nerve injury;;;13.0
HNV;Acute Concussion with visual symptoms;Head;Nerve injury;;;13.0
HNCT;Traumatic Encephalopathy Syndrome;Head;Nerve injury;;;15
HNCN;Concussion with no concerning history or signs;Head;Nerve injury;;;15
HNCH;Concussion in a player with a concerning history;Head;Nerve injury;;;15
HNCD;Concussion with delayed symptom presentation;Head;Nerve injury;;;15
HNC1;Concussion with Criteria 1 video signs;Head;Nerve injury;;;15
HN4;Cranial Nerve injury;Head;Nerve injury;;;9
HN3;Chronic Brain Injury;Head;Nerve injury;;;9
HN2;Concussion/Brain Injury;Head;Nerve injury;;;9
HN1;Concussion;Head;Nerve injury;;;9
HNCB;Concussion with abnormal biomarkers;Head;Nerve injury;;;15
HFX;Head/Facial fracture;Head;Fracture ;;;13.0
HFS;Skull/cranial fracture;Head;Fracture ;;;13.0
HFT;Avulsed/fractured tooth;Head;Fracture ;;;13.0
HFE;Orbital floor fracture;Head;Fracture ;;;9
HFMC;Compound fractured mandible;Head;Fracture ;;;10
HFM;Maxillary fracture;Head;Fracture ;;;9
HFZ;Zygoma fracture;Head;Fracture ;;;9
HFEM;Medial Wall orbit fracture;Head;Fracture ;;;10
HF4;Orbital fracture;Head;Fracture ;;;9
HF3;Mandible fracture;Head;Fracture ;;;9
HF2;Fractured frontal bone;Head;Fracture ;;;9
HF1;Nose fracture;Head;Fracture ;;;9
HFEZ;Other orbital fracture not otherwise specified;Head;Fracture ;;;10
HFD;Fractured Tooth;Head;Fracture ;;;13.0
HLT;Jaw sprain/temporomandibular joint (TMJ) symptoms;Head;Ligament;;;13.0
HLJ;Jaw bruising/haematoma;Head;Ligament;;;13.0
HLS;Facial Joint sprain/injury;Head;Ligament;;;13.0
HDT;Avulsed Tooth;Head;Joint sprain;;;13.0
HDX;Facial Dislocation;Head;Joint sprain;;;13.0
HD1;Jaw dislocation;Head;Joint sprain;;;9
HVB;Epistaxis;Head;Contusion/vascular;;;13.0
HVX;Other bruising/haematoma not otherwise specified;Head;Contusion/vascular;;;13.0
HVS;Septal haematoma;Head;Contusion/vascular;;;13.0
HVM;Mouth bruising/haematoma;Head;Contusion/vascular;;;13.0
HVP;Periorbital bruising/haematoma;Head;Contusion/vascular;;;13.0
HVO;Ear bruising/haematoma;Head;Contusion/vascular;;;13.0
HVN;Nose contusion/haematoma;Head;Contusion/vascular;;;13.0
HVL;Scalp bruising/haematoma;Head;Contusion/vascular;;;13.0
HVC;Cauliflower Ear (chronic);Head;Contusion/vascular;;;13.0
HV1;Head/facial contusion/haematoma;Head;Contusion/vascular;;;9
HVE;Eye bruising/haematoma;Head;Contusion/vascular;;;13.0
HKXN;Head laceration location unspecified/or multiple not requiring suturing;Head;Laceration ;;;10
HKM;Mucosal laceration not requiring suturing;Head;Laceration ;;;9
HKMS;Mucosal laceration requiring suturing;Head;Laceration ;;;10
HKN;Nose laceration not requiring suturing;Head;Laceration ;;;9
HKNS;Nose laceration requiring suturing;Head;Laceration ;;;10
HKP;Perforating mouth laceration;Head;Laceration ;;;13.0
HKPS;Perforating mouth laceration requiring suturing;Head;Laceration ;;;10
HKS;Scalp laceration;Head;Laceration ;;;13.0
HKT;Tongue laceration;Head;Laceration ;;;13.0
HKTS;Tongue laceration requiring suturing;Head;Laceration ;;;10
HKXQ;Complication of head laceration including infection;Head;Laceration ;;;10
HKXS;Head laceration location unspecified/or multiple requiring suturing;Head;Laceration ;;;10
HKZ;Facial laceration not requiring suturing;Head;Laceration ;;;13.0
HKLN;Eyelid laceration not requiring suturing;Head;Laceration ;;;10
HKB;Eyebrow laceration not requiring suturing;Head;Laceration ;;;9
HKZS;Facial laceration requiring suturing;Head;Laceration ;;;10
HKTN;Tongue laceration not requiring suturing;Head;Laceration ;;;10
HK2;Eyelid laceration;Head;Laceration ;;;9
HKKS;Lip laceration requiring suturing;Head;Laceration ;;;10
HK1;Head/facial laceration;Head;Laceration ;;;9
HKC;Cheek laceration not requiring suturing;Head;Laceration ;;;9
HKBS;Eyebrow laceration requiring suturing;Head;Laceration ;;;10
HKCS;Cheek laceration requiring suturing;Head;Laceration ;;;10
HKE;Eyelid laceration requiring suturing;Head;Laceration ;;;9
HKK;Lip laceration;Head;Laceration ;;;13.0
HKES;Ear laceration requiring suturing;Head;Laceration ;;;10
HKF;Forehead laceration not requiring suturing;Head;Laceration ;;;9
HKHS;Forehead laceration requiring suturing;Head;Laceration ;;;10
HKJ;Chin laceration;Head;Laceration ;;;9
HKE1;Ear laceration;Head;Laceration ;;;13.0
HIK;Lip abrasion not requiring suturing;Head;Abrasion ;;;13.0
HIS;Scalp abrasion;Head;Abrasion ;;;13.0
HIM;Mouth abrasion;Head;Abrasion ;;;13.0
HIJ;Chin abrasion;Head;Abrasion ;;;13.0
HIH;Forehead abrasion;Head;Abrasion ;;;13.0
HIF;Facial abrasion not otherwise specified;Head;Abrasion ;;;13.0
HIC;Cheek abrasion;Head;Abrasion ;;;13.0
HIB;Eyebrow abrasion;Head;Abrasion ;;;13.0
HIE;Ear abrasion;Head;Abrasion ;;;13.0
