osiics_16_code;problem_type;osiics_16_level_1;osiics_16_level_2;osiics_16_level_3;osiics_16_level_4
HMT;Injury;Head;Muscle/tendon;Muscle injury;Muscular trigger point referred headache
HMY;Injury;Head;Muscle/tendon;Muscle injury;Facial muscle trigger points
HNCA;Injury;Head;Nervous;Brain/spinal cord injury;Concussion with imaging abnormality
HNC2;Injury;Head;Nervous;Brain/spinal cord injury;Concussion with criteria-2 video signs
HNI;Injury;Head;Nervous;Brain/spinal cord injury;Intracranial bleed
HNV;Injury;Head;Nervous;Brain/spinal cord injury;Acute concussion with visual symptoms
HNCT;Injury;Head;Nervous;Brain/spinal cord injury;Traumatic encephalopathy syndrome
HNCN;Injury;Head;Nervous;Brain/spinal cord injury;Concussion with no concerning history or signs
HNCH;Injury;Head;Nervous;Brain/spinal cord injury;Concussion in a player with a concerning history
HNCD;Injury;Head;Nervous;Brain/spinal cord injury;Concussion with delayed symptom presentation
HNC1;Injury;Head;Nervous;Brain/spinal cord injury;Concussion with criteria-1 video signs
HN4;Injury;Head;Nervous;Brain/spinal cord injury;Cranial nerve injury
HN3;Injury;Head;Nervous;Brain/spinal cord injury;Chronic brain injury
HN2;Injury;Head;Nervous;Brain/spinal cord injury;Concussion/brain injury
HN1;Injury;Head;Nervous;Brain/spinal cord injury;Concussion
HNCB;Injury;Head;Nervous;Brain/spinal cord injury;Concussion with abnormal biomarkers
HFX;Injury;Head;Bone;Fracture;Head/facial fracture
HFS;Injury;Head;Bone;Fracture;Skull/cranial fracture
HFT;Injury;Head;Bone;Fracture;Avulsed/fractured tooth
HFE;Injury;Head;Bone;Fracture;Orbital floor fracture
HFMC;Injury;Head;Bone;Fracture;Compound fractured mandible
HFM;Injury;Head;Bone;Fracture;Maxillary fracture
HFZ;Injury;Head;Bone;Fracture;Zygoma fracture
HFEM;Injury;Head;Bone;Fracture;Medial wall orbit fracture
HF4;Injury;Head;Bone;Fracture;Orbital fracture
HF3;Injury;Head;Bone;Fracture;Mandible fracture
HF2;Injury;Head;Bone;Fracture;Fractured frontal bone
HF1;Injury;Head;Bone;Fracture;Nose fracture
HFEZ;Injury;Head;Bone;Fracture;Other orbital fracture not otherwise specified
HFD;Injury;Head;Bone;Fracture;Fractured tooth
HLT;Injury;Head;Ligament/joint capsule;Joint sprain;Jaw sprain/temporomandibular joint (tmj) symptoms
HLJ;Injury;Head;Ligament/joint capsule;Joint sprain;Jaw bruising/haematoma
HLS;Injury;Head;Ligament/joint capsule;Joint sprain;Facial joint sprain/injury
HDT;Injury;Head;Ligament/joint capsule;Joint sprain;Avulsed tooth
HDX;Injury;Head;Ligament/joint capsule;Joint sprain;Facial dislocation
HD1;Injury;Head;Ligament/joint capsule;Joint sprain;Jaw dislocation
HVB;Injury;Head;Vessels;Vascular trauma;Epistaxis
HVX;Injury;Head;Superficial tissues/skin;Contusion (superficial);Other bruising/haematoma not otherwise specified
HVS;Injury;Head;Vessels;Vascular trauma;Septal haematoma
HVM;Injury;Head;Superficial tissues/skin;Contusion (superficial);Mouth bruising/haematoma
HVP;Injury;Head;Superficial tissues/skin;Contusion (superficial);Periorbital bruising/haematoma
HVO;Injury;Head;Superficial tissues/skin;Contusion (superficial);Ear bruising/haematoma
HVN;Injury;Head;Superficial tissues/skin;Contusion (superficial);Nose contusion/haematoma
HVL;Injury;Head;Superficial tissues/skin;Contusion (superficial);Scalp bruising/haematoma
HVC;Injury;Head;Superficial tissues/skin;Contusion (superficial);Cauliflower ear (chronic)
HV1;Injury;Head;Superficial tissues/skin;Contusion (superficial);Head/facial contusion/haematoma
HVE;Injury;Head;Superficial tissues/skin;Contusion (superficial);Eye bruising/haematoma
HKXN;Injury;Head;Muscle/tendon;Laceration;Head laceration location unspecified/or multiple not requiring suturing
HKM;Injury;Head;Muscle/tendon;Laceration;Mucosal laceration not requiring suturing
HKMS;Injury;Head;Muscle/tendon;Laceration;Mucosal laceration requiring suturing
HKN;Injury;Head;Muscle/tendon;Laceration;Nose laceration not requiring suturing
HKNS;Injury;Head;Muscle/tendon;Laceration;Nose laceration requiring suturing
HKP;Injury;Head;Muscle/tendon;Laceration;Perforating mouth laceration
HKPS;Injury;Head;Muscle/tendon;Laceration;Perforating mouth laceration requiring suturing
HKS;Injury;Head;Muscle/tendon;Laceration;Scalp laceration
HKT;Injury;Head;Muscle/tendon;Laceration;Tongue laceration
HKTS;Injury;Head;Muscle/tendon;Laceration;Tongue laceration requiring suturing
HKXQ;Injury;Head;Muscle/tendon;Laceration;Complication of head laceration including infection
HKXS;Injury;Head;Muscle/tendon;Laceration;Head laceration location unspecified/or multiple requiring suturing
HKZ;Injury;Head;Muscle/tendon;Laceration;Facial laceration not requiring suturing
HKLN;Injury;Head;Muscle/tendon;Laceration;Eyelid laceration not requiring suturing
HKB;Injury;Head;Muscle/tendon;Laceration;Eyebrow laceration not requiring suturing
HKZS;Injury;Head;Muscle/tendon;Laceration;Facial laceration requiring suturing
HKTN;Injury;Head;Muscle/tendon;Laceration;Tongue laceration not requiring suturing
HK2;Injury;Head;Muscle/tendon;Laceration;Eyelid laceration
HKKS;Injury;Head;Muscle/tendon;Laceration;Lip laceration requiring suturing
HK1;Injury;Head;Muscle/tendon;Laceration;Head/facial laceration
HKC;Injury;Head;Muscle/tendon;Laceration;Cheek laceration not requiring suturing
HKBS;Injury;Head;Muscle/tendon;Laceration;Eyebrow laceration requiring suturing
HKCS;Injury;Head;Muscle/tendon;Laceration;Cheek laceration requiring suturing
HKE;Injury;Head;Muscle/tendon;Laceration;Eyelid laceration requiring suturing
HKK;Injury;Head;Muscle/tendon;Laceration;Lip laceration
HKES;Injury;Head;Muscle/tendon;Laceration;Ear laceration requiring suturing
HKF;Injury;Head;Muscle/tendon;Laceration;Forehead laceration not requiring suturing
HKHS;Injury;Head;Muscle/tendon;Laceration;Forehead laceration requiring suturing
HKJ;Injury;Head;Muscle/tendon;Laceration;Chin laceration
HKE1;Injury;Head;Muscle/tendon;Laceration;Ear laceration
HIK;Injury;Head;Superficial tissues/skin;Abrasion;Lip abrasion not requiring suturing
HIS;Injury;Head;Superficial tissues/skin;Abrasion;Scalp abrasion
HIM;Injury;Head;Superficial tissues/skin;Abrasion;Mouth abrasion
HIJ;Injury;Head;Superficial tissues/skin;Abrasion;Chin abrasion
HIH;Injury;Head;Superficial tissues/skin;Abrasion;Forehead abrasion
HIF;Injury;Head;Superficial tissues/skin;Abrasion;Facial abrasion not otherwise specified
HIC;Injury;Head;Superficial tissues/skin;Abrasion;Cheek abrasion
HIB;Injury;Head;Superficial tissues/skin;Abrasion;Eyebrow abrasion
HIE;Injury;Head;Superficial tissues/skin;Abrasion;Ear abrasion
HIN;Injury;Head;Superficial tissues/skin;Abrasion;Nose abrasion
HOE;Injury;Head;Internal organs;Organ trauma;Ear trauma
HOX;Injury;Head;Internal organs;Organ trauma;Head organ damage
HOU;Injury;Head;Internal organs;Organ trauma;Corneal abrasion
HORH;Injury;Head;Internal organs;Organ trauma;Traumatic retinal haemorrhage
HOR;Injury;Head;Internal organs;Organ trauma;Retinal detachment
HOO;Injury;Head;Internal organs;Organ trauma;Eye foreign body - not otherwise specified
HOL;Injury;Head;Internal organs;Organ trauma;Contact lens displacement
HOF;Injury;Head;Internal organs;Organ trauma;Eye foreign body - corneal
HODL;Injury;Head;Internal organs;Organ trauma;Subluxed tooth
HOC;Injury;Head;Internal organs;Organ trauma;Conjunctival haematoma
HO2;Injury;Head;Internal organs;Organ trauma;Perforated ear drum
HO1;Injury;Head;Internal organs;Organ trauma;Eye injury/trauma
HOH;Injury;Head;Internal organs;Organ trauma;Hyphema
HP1;Injury;Head;Non-specific;Injury without tissue type specified;Functional head pain
HPY;Injury;Head;Non-specific;Injury without tissue type specified;Facial muscle strain
HZ1;Injury;Head;Non-specific;Unknown;Headache/pain undiagnosed
HZC2;Injury;Head;Non-specific;Unknown;Head impact (not concussion) with criteria-2 video signs
HZN;Injury;Head;Non-specific;Unknown;Head/neck impact not diagnosed as concussion
HZX;Injury;Head;Non-specific;Unknown;Head injuries
NMT;Injury;Neck;Muscle/tendon;Muscle injury;Neck muscle soreness/spasm/torticollis
NM1;Injury;Neck;Muscle/tendon;Muscle injury;Neck muscle strain
NH1;Injury;Neck;Superficial tissues/skin;Contusion (superficial);Neck contusion/haematoma
NNX;Injury;Neck;Nervous;Brain/spinal cord injury;Neurological neck injury
NN4;Injury;Neck;Nervous;Brain/spinal cord injury;Cervical spinal cord concussion
NN3;Injury;Neck;Nervous;Brain/spinal cord injury;Cervical spinal canal stenosis
NN1;Injury;Neck;Nervous;Peripheral nerve injury;Cervical nerve root compression/stretch
NN2;Injury;Neck;Nervous;Brain/spinal cord injury;Cervical spinal cord injury
NF1;Injury;Neck;Bone;Fracture;Stable cervical fracture/s
NF2;Injury;Neck;Bone;Fracture;Unstable cervical fracture/s
NFC;Injury;Neck;Bone;Fracture;Cervical fracture/s
NFS;Injury;Neck;Bone;Fracture;Avulsion fracture/s cervical spine (e.g. spinous process fracture)
NFX;Injury;Neck;Bone;Fracture;Neck fracture
NSX;Injury;Neck;Bone;Bone stress injury;Cervical stress fracture
NC1;Injury;Neck;Cartilage/synovium/bursa;Cartilage injury;Cervical disc injury
NC2;Injury;Neck;Cartilage/synovium/bursa;Cartilage injury;Cervical disc degeneration
NCP;Injury;Neck;Cartilage/synovium/bursa;Cartilage injury;Cervical disc prolapse
NCL;Injury;Neck;Cartilage/synovium/bursa;Cartilage injury;Cervical disc sprain
NAX;Injury;Neck;Cartilage/synovium/bursa;Arthritis;Cervical spinal column degenerative disc disease/arthritis
NA1;Injury;Neck;Cartilage/synovium/bursa;Arthritis;Cervical facet joint arthritis
NL1;Injury;Neck;Ligament/joint capsule;Joint sprain;Facet joint/neck ligament sprain
NLW;Injury;Neck;Ligament/joint capsule;Joint sprain;Whiplash/neck sprain
NUS;Injury;Neck;Ligament/joint capsule;Chronic instability;Cervical subluxation/instability
NQF;Injury;Neck;Cartilage/synovium/bursa;Synovitis/capsulitis;Cervical spine facet joint synovitis/pain
NKX;Injury;Neck;Muscle/tendon;Laceration;Neck laceration
NKXQ;Injury;Neck;Muscle/tendon;Laceration;Complication of neck laceration including infection
NKXS;Injury;Neck;Muscle/tendon;Laceration;Neck laceration requiring suturing
NK1;Injury;Neck;Muscle/tendon;Laceration;Neck laceration not requiring suturing
NIX;Injury;Neck;Superficial tissues/skin;Abrasion;Neck abrasion
NO1;Injury;Neck;Internal organs;Organ trauma;Foreign body in larynx
NOF;Injury;Neck;Internal organs;Organ trauma;Laryngeal fracture
NOL;Injury;Neck;Internal organs;Organ trauma;Laryngeal trauma
NOX;Injury;Neck;Internal organs;Organ trauma;Neck organ damage
