team;player_id;position;date_birth;height;weight;consent;consent_2;consent_3;consent_notes;consent_notes_2
TMA;TMA001;GK;24/03/1989;188;67;yes;;;;
TMA;TMA002;GK;22/04/2000;170;84;yes;;;;
TMA;TMA003;GK;07/08/1991;175;68;yes;;;;
TMA;TMA004;DF;08/01/1992;177;72;yes;;;;
TMA;TMA005;DF;01/03/1997;181;78;yes;;;;
TMA;TMA006;DF;28/07/1991;177;86;yes;;;;
TMA;TMA007;DF;03/09/1997;192;72;yes;;;;
TMA;TMA008;DF;18/04/2000;179;83;yes;;;;
TMA;TMA009;DF;05/08/1987;178;74;yes;;;;
TMA;TMA010;DF;24/07/2003;185;68;yes;;;;
TMA;TMA011;DF;02/07/1987;178;77;yes;;;;
TMA;TMA012;MF;12/12/1986;172;75;yes;;;;
TMA;TMA013;MF;30/10/1991;177;80;yes;;;;
TMA;TMA014;MF;27/02/1996;182;69;yes;;;;
TMA;TMA015;MF;10/10/1996;178;71;yes;;;;
TMA;TMA016;MF;02/08/1988;173;75;yes;;;;
TMA;TMA017;MF;23/07/2003;187;69;yes;;;;
TMA;TMA018;MF;29/08/1988;175;72;yes;;;;
TMA;TMA019;FW;06/10/2002;165;75;yes;;;;
TMA;TMA020;FW;05/11/1999;186;80;yes;;;;
TMA;TMA021;FW;05/04/2005;188;71;yes;;;;
TMA;TMA022;FW;06/11/2003;184;84;yes;;;;
TMA;TMA023;FW;15/11/1991;186;74;yes;;;;
TMB;TMB001;GK;29/07/1988;173;74;yes;;;;
TMB;TMB002;GK;07/04/1990;190;68;yes;;;;
TMB;TMB003;GK;02/11/1999;186;69;yes;;;;
TMB;TMB004;DF;08/10/1993;185;78;yes;;;;
TMB;TMB005;DF;19/11/1989;185;67;yes;;;;
TMB;TMB006;DF;11/03/2006;189;75;yes;;;;
TMB;TMB007;DF;12/12/2005;170;82;yes;;;;
TMB;TMB008;DF;20/12/1996;181;70;yes;;;;
TMB;TMB009;DF;29/11/1999;182;78;yes;;;;
TMB;TMB010;DF;01/04/2002;190;72;yes;;;;
TMB;TMB011;DF;13/12/1986;194;67;yes;;;;
TMB;TMB012;MF;25/04/1992;177;85;yes;;;;
TMB;TMB013;MF;22/03/1992;186;70;yes;;;;
TMB;TMB014;MF;26/06/2004;180;65;yes;;;;
