team;player_id;27/05/2024;28/05/2024;29/05/2024;30/05/2024;31/05/2024;01/06/2024;02/06/2024;03/06/2024;04/06/2024;05/06/2024;06/06/2024;07/06/2024;08/06/2024;09/06/2024;10/06/2024;11/06/2024;12/06/2024;13/06/2024;14/06/2024;15/06/2024;16/06/2024;17/06/2024
TMA;TMA001;90;45;75;60;0;;;60;20;90;90;20;0;60;0;30;45;90;;;75;30
TMA;TMA002;90;45;75;60;0;;;60;20;90;90;20;0;60;0;30;45;90;0;;75;30
TMA;TMA003;90;45;75;60;0;;;60;20;90;90;20;0;60;0;30;45;90;0;;75;30
TMA;TMA004;90;45;;60;0;0;;60;20;90;;20;0;60;;30;45;90;0;;75;30
TMA;TMA005;90;45;75;60;0;;;60;20;90;0;20;0;60;;30;45;90;0;;75;30
TMA;TMA006;90;45;75;60;0;;;60;20;0;90;20;0;60;0;30;45;90;0;;75;30
TMA;TMA007;90;45;75;60;0;;;60;20;90;;20;0;60;0;30;0;90;;;75;30
TMA;TMA008;90;45;75;60;0;;;60;20;90;90;20;0;60;0;30;45;90;0;;75;30
TMA;TMA009;90;0;75;60;0;;;60;20;90;90;20;;60;0;30;45;90;0;;75;30
TMA;TMA010;90;45;75;60;0;;;60;20;90;90;20;0;60;0;30;45;90;0;;75;30
TMA;TMA011;90;0;75;;0;;;60;20;0;90;20;0;60;0;0;45;0;0;;75;0
TMA;TMA012;90;45;75;60;0;;;60;20;90;90;20;0;60;0;30;45;90;;;75;30
TMA;TMA013;90;45;75;0;0;;;60;;90;;20;0;60;0;30;45;90;0;;75;0
TMA;TMA014;90;45;75;60;0;;0;60;20;90;90;20;0;60;;30;45;90;0;;75;30
TMA;TMA015;90;45;75;60;0;;;60;0;90;90;20;0;60;0;30;45;;0;;75;30
TMA;TMA016;0;45;75;60;0;;;60;20;90;90;20;0;60;0;30;45;0;0;;75;30
TMA;TMA017;90;45;75;60;0;;;60;20;90;90;20;0;60;0;30;45;;0;;75;30
TMA;TMA018;90;45;75;60;0;;;60;20;90;90;0;0;60;0;30;45;90;0;;75;30
TMA;TMA019;90;45;75;60;0;;0;60;20;90;90;20;0;60;0;30;45;90;0;;75;30
TMA;TMA020;90;45;75;60;0;0;;60;20;90;90;20;0;60;0;30;45;90;0;;;30
TMA;TMA021;90;45;75;60;0;;;60;20;;90;20;0;60;0;30;45;90;0;;0;30
TMA;TMA022;90;45;75;;0;;;60;20;90;90;20;0;60;0;30;45;0;0;;75;30
TMA;TMA023;90;45;75;0;0;;;60;0;90;90;20;0;60;0;30;45;90;0;;75;30
TMB;TMB001;0;0;75;90;75;20;45;90;20;60;90;;75;75;60;0;;;;;;
TMB;TMB002;0;0;75;90;75;20;45;90;20;60;90;;75;75;0;0;;;;;;
TMB;TMB003;0;0;75;90;75;20;45;90;20;60;90;0;75;75;60;0;;;;;;
TMB;TMB004;0;0;75;90;75;20;45;90;20;60;90;;75;75;60;0;;;;;;
TMB;TMB005;0;0;75;90;75;20;45;90;20;60;90;;75;75;60;0;;;;;;
TMB;TMB006;0;0;75;90;75;20;45;90;20;60;90;;75;75;60;0;;;;;;
TMB;TMB007;0;0;75;90;75;20;45;90;20;60;90;;75;75;60;0;;;;;;
TMB;TMB008;0;0;75;90;75;20;45;90;20;60;90;;75;75;60;0;;;;;;
TMB;TMB009;0;0;75;90;75;20;45;90;;60;90;;75;75;60;0;;;;;;
TMB;TMB010;0;0;75;90;75;20;45;90;0;0;90;;75;75;60;0;;;;;;
TMB;TMB011;0;0;75;90;75;0;45;90;20;60;90;;75;75;60;0;;;;;;
TMB;TMB012;0;0;75;90;75;;45;90;20;60;90;;75;75;60;0;;;;;;
TMB;TMB013;0;0;75;90;75;20;45;90;20;60;90;;75;0;60;0;;;;;;
TMB;TMB014;0;0;75;90;0;20;45;90;20;60;90;;0;75;60;0;;;;;;
TMB;TMB015;0;0;75;90;75;20;45;90;;60;90;;75;75;60;0;;;;;;
TMB;TMB016;0;0;75;90;75;20;45;90;0;60;90;;75;75;60;0;;;;;;
TMB;TMB017;;0;75;90;75;20;45;90;;60;90;;75;75;60;0;;;;;;
TMB;TMB018;0;0;;90;75;20;45;90;0;60;90;;75;75;60;0;;;;;;
TMB;TMB019;;0;75;90;75;20;45;90;20;60;90;;75;75;60;0;;;;;;
TMB;TMB020;0;0;75;90;75;20;45;90;20;60;90;;75;75;60;0;;;;;;
TMB;TMB021;0;0;75;90;75;20;;90;20;;90;;75;75;60;0;;;;;;
TMB;TMB022;0;0;75;90;;20;45;90;20;60;90;;75;75;60;0;;;;;;
TMB;TMB023;0;0;75;90;75;0;45;90;20;60;90;;75;0;60;0;;;;;;
TMC;TMC001;45;;90;60;60;20;;60;0;45;60;0;;;;;;;;;;
TMC;TMC002;45;45;90;60;60;20;;60;0;45;60;0;;;;;;;;;;
TMC;TMC003;45;45;90;60;60;20;0;60;0;45;60;0;;;;;;;;;;
TMC;TMC004;45;45;90;60;60;20;;60;0;45;60;0;;;;;;;;;;
TMC;TMC005;45;45;90;60;60;20;;60;0;45;60;0;;;;;;;;;;
TMC;TMC006;45;45;90;60;60;20;;60;0;45;60;0;;;;;;;;;;
TMC;TMC007;45;45;90;60;;;;60;0;45;60;0;;;;;;;;;;
TMC;TMC008;45;45;90;60;;20;;60;0;45;;0;;;;;;;;;;
TMC;TMC009;45;45;90;60;60;20;;60;0;45;60;0;;;;;;;;;;
TMC;TMC010;45;45;90;60;60;20;;60;0;;60;0;;;;;;;;;;
TMC;TMC011;45;45;90;60;60;20;;60;0;45;60;0;;;;;;;;;;
TMC;TMC012;45;45;90;60;60;20;;60;0;45;60;0;;;;;;;;;;
TMC;TMC013;45;45;90;60;60;20;;60;0;45;60;0;;;;;;;;;;
TMC;TMC014;;45;90;60;60;20;;60;0;45;60;0;;;;;;;;;;
