competition_name;match_id;match_number;fixture;team;player_id;total_playing_time;effective_playing_time;in_possession_time;out_of_possession_time
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMA;TMA006;96;50.7223;27.8854;22.8369
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMA;TMA016;84;45.3425;22.8901;22.4524
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMA;TMA007;96;50.6491;26.2865;24.3626
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMA;TMA023;53;27.8718;13.4061;14.4657
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMA;TMA013;58;31.7454;15.8995;15.8459
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMA;TMA020;96;51.4597;24.5313;26.9284
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMA;TMA015;47;24.2009;11.1512;13.0497
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMA;TMA008;96;48.0607;23.4417;24.619
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMA;TMA021;96;48.885;25.5808;23.3042
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMA;TMA019;96;51.1137;27.7104;23.4033
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMA;TMA017;60;33.1959;17.356;15.8399
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMA;TMA005;49;24.7279;11.5785;13.1494
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMA;TMA012;43;23.686;11.4542;12.2318
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMA;TMA001;38;19.3939;10.485900000000001;8.908
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMA;TMA009;36;18.5338;10.084;8.4498
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMA;TMA018;12;6.1235;2.8084;3.3151
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMB;TMB011;96;50.5997;25.7482;24.8515
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMB;TMB020;96;52.89;28.2854;24.6046
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMB;TMB005;46;23.7913;12.6641;11.1272
Example Cup 2024;EXC2024-M01;1;TMA v TMB;TMB;TMB016;96;51.8339;24.1904;27.6435
