competition_id;team_id;player_id;half_time;match_run_time_in_ms;match_run_time;match_time_in_ms;match_time;ball_state;player_injury_signs;contact_type;contact_type_detail;body_profile;injury_body_location;body_part;injured_player_velocity;jump_detail;run_detail;run_detail_extra;other_player_body_location;other_player_body_part;other_player_velocity;other_player_jump_detail;other_player_run_detail;other_player_run_detail_extra;game_reaction;referee_action;referee_action_play_stopped;medic_required;assessment_required_on_pitch;assessment_required_pitch_side;injury_outcome;injury_outcome_action;injured_player_sanction;other_player_sanction;time_from_injury_start_to_injury_outcome;time_from_injury_start_to_player_injury_signs;time_from_referee_action_to_medic_required;time_from_injury_start_to_medic_required;time_from_medic_required_to_assessment_starting_on_pitch;assessment_on_pitch_time;assessment_pitch_side_time;total_assessment_time;closest_player_action;closest_player_action_pressure;player_tactical_starting_position;match_number;match_name;team_name;player_name;player_shirt_number;competition_name;match_id
;;;;;;;;;;direct_contact;opposing_player;;;thigh;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;duel;;;23;;TEAM MIKE;;;;
;;;;;;;;;;direct_contact;opposing_player;;;foot;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;2nd_yellow_card;;;;;;;;;offer;;;19;;TEAM HOTEL;;;;
;;;;;;;;;;indirect_contact;opposing_player;;;upper_arm;;;;;;;;;;;;play_stopped;other;medic_not_required;FALSE;;;;yellow_card;yellow_card;;;;;;;;;pressing;;;15;;TEAM MIKE;;;;
;;;;;;;;;;direct_contact;opposing_player;;;shoulder;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;pressing;;;23;;TEAM MIKE;;;;
;;;;;;;;;;non_contact;other;;;lower_arm;;;;;;;;;;;;play_stopped;teammate_foul_for;medic_required;FALSE;;;;;;;;;;;;;;clearance;;;17;;TEAM DELTA;;;;
;;;;;;;;;;non_contact;opposing_player;;;trunk;;;;;;;;;;;;play_stopped;teammate_foul_for;medic_not_required;FALSE;;;;;;;;;;;;;;active_engagement;;;20;;TEAM GOLF;;;;
;;;;;;;;;;indirect_contact;ball_contact;;;lower_arm;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;attempt_at_goal;;;23;;TEAM PAPA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;unidentifiable;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;pass;;;1;;TEAM ALPHA;;;;
;;;;;;;;;;indirect_contact;opposing_player;;;hip_pelvis_groin;;;;;;;;;;;;play_stopped;teammate_foul_against;medic_not_required;FALSE;;;;;;;;;;;;;;interception;;;25;;TEAM FOXTROT;;;;
;;;;;;;;;;direct_contact;opposing_player;;;head;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;active_engagement;;;11;;TEAM GOLF;;;;
;;;;;;;;;;direct_contact;teammate;;;knee;;;;;;;;;;;;no_action;;medic_required;FALSE;;;;;;;;;;;;;;defensive_line_support;;;11;;TEAM ECHO;;;;
;;;;;;;;;;direct_contact;opposing_player;;;neck;;;;;;;;;;;;no_action;;medic_required;FALSE;;;;;;;;;;;;;;clearance;;;17;;TEAM ALPHA;;;;
;;;;;;;;;;indirect_contact;opposing_player;;;hip_pelvis_groin;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;yellow_card;;;;;;;;;;interception;;;21;;TEAM INDIA;;;;
;;;;;;;;;;direct_contact;teammate;;;elbow;;;;;;;;;;;;no_action;;medic_not_required;TRUE;;;;;;;;;;;151.945879;;;pass;;;20;;TEAM GOLF;;;;
;;;;;;;;;;non_contact;pitch_object;;;hands;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;ball_progression;;;15;;TEAM MIKE;;;;
;;;;;;;;;;direct_contact;opposing_player;;;elbow;;;;;;;;;;;;no_action;;medic_required;FALSE;;;sub;yellow_card;;;;;;;;;;pass;;;27;;TEAM INDIA;;;;
;;;;;;;;;;indirect_contact;opposing_player;;;neck;;;;;;;;;;;;play_stopped;injury_stoppage;medic_not_required;FALSE;;;;;;;;;;;;;;offer;;;31;;TEAM ALPHA;;;;
;;;;;;;;;;indirect_contact;opposing_player;;;knee;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;aerial_duel;;;1;;TEAM ALPHA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;unidentifiable;;;;;;;;;;;;play_stopped;teammate_foul_against;medic_not_required;TRUE;;;;;;;;;;;132.791835;;;pressing;;;9;;TEAM ALPHA;;;;
;;;;;;;;;;indirect_contact;other;;;head;;;;;;;;;;;;play_stopped;other;medic_required;FALSE;;;;;;;;;;;;;;offer;;;29;;TEAM INDIA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;trunk;;;;;;;;;;;;no_action;;medic_required;FALSE;;;;;;;;;;;;;;goal_prevention;;;9;;TEAM ALPHA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;foot;;;;;;;;;;;;no_action;;medic_not_required;TRUE;;;;;;;;;;;279.815109;;;pass;;;15;;TEAM MIKE;;;;
;;;;;;;;;;indirect_contact;opposing_player;;;ankle;;;;;;;;;;;;play_on;;medic_not_required;TRUE;;;;;;;;;;;153.194164;;;clearance;;;28;;TEAM JULIETT;;;;
;;;;;;;;;;direct_contact;opposing_player;;;trunk;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;clearance;;;4;;TEAM HOTEL;;;;
;;;;;;;;;;direct_contact;opposing_player;;;unidentifiable;;;;;;;;;;;;play_stopped;foul_for;medic_not_required;FALSE;;;;;;;;;;;;;;pass;;;29;;TEAM ALPHA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;hands;;;;;;;;;;;;play_on;;medic_not_required;TRUE;;;;;;;;;;;113.464916;;;offer;;;32;;TEAM MIKE;;;;
;;;;;;;;;;direct_contact;teammate;;;hands;;;;;;;;;;;;play_stopped;teammate_foul_for;medic_not_required;FALSE;;;;;;;;;;;;;;goal_prevention;;;13;;TEAM KILO;;;;
;;;;;;;;;;direct_contact;pitch_object;;;neck;;;;;;;;;;;;play_stopped;injury_stoppage;medic_not_required;FALSE;;;;;;;;;;;;;;attempt_at_goal;;;29;;TEAM INDIA;;;;
