team;MD1;MD2;MD3;MD4;MD5;MD6
TMA;01/06/2024;04/06/2024;07/06/2024;11/06/2024;14/06/2024;17/06/2024
TMB;01/06/2024;04/06/2024;07/06/2024;11/06/2024;;
TMC;01/06/2024;04/06/2024;07/06/2024;;;
TMD;01/06/2024;04/06/2024;07/06/2024;;;
TME;01/06/2024;04/06/2024;07/06/2024;11/06/2024;14/06/2024;17/06/2024
TMF;01/06/2024;04/06/2024;07/06/2024;11/06/2024;;
TMG;01/06/2024;04/06/2024;07/06/2024;;;
TMH;01/06/2024;04/06/2024;07/06/2024;;;
TMI;01/06/2024;04/06/2024;07/06/2024;11/06/2024;14/06/2024;17/06/2024
TMJ;01/06/2024;04/06/2024;07/06/2024;11/06/2024;;
TMK;01/06/2024;04/06/2024;07/06/2024;;;
TML;01/06/2024;04/06/2024;07/06/2024;;;
TMM;01/06/2024;04/06/2024;07/06/2024;11/06/2024;14/06/2024;17/06/2024
TMN;01/06/2024;04/06/2024;07/06/2024;11/06/2024;;
TMO;01/06/2024;04/06/2024;07/06/2024;;;
TMP;01/06/2024;04/06/2024;07/06/2024;;;
